token_index,activation_value
0.000000000000000000e+00,3.906250000000000000e-01
1.000000000000000000e+00,7.452392578125000000e-02
2.000000000000000000e+00,6.890869140625000000e-02
3.000000000000000000e+00,6.130981445312500000e-02
4.000000000000000000e+00,7.269287109375000000e-02
5.000000000000000000e+00,1.195678710937500000e-01
6.000000000000000000e+00,1.986083984375000000e-01
7.000000000000000000e+00,9.106445312500000000e-02
8.000000000000000000e+00,4.412841796875000000e-02
9.000000000000000000e+00,2.883300781250000000e-01
1.000000000000000000e+01,2.073974609375000000e-01
1.100000000000000000e+01,7.269287109375000000e-02
1.200000000000000000e+01,4.461669921875000000e-02
1.300000000000000000e+01,1.103515625000000000e-01
1.400000000000000000e+01,1.063842773437500000e-01
1.500000000000000000e+01,1.170043945312500000e-01
1.600000000000000000e+01,9.759521484375000000e-02
1.700000000000000000e+01,2.052307128906250000e-02
1.800000000000000000e+01,9.145507812500000000e-01
1.900000000000000000e+01,3.354492187500000000e-01
2.000000000000000000e+01,5.554199218750000000e-02
2.100000000000000000e+01,1.376953125000000000e-01
2.200000000000000000e+01,4.667968750000000000e-01
2.300000000000000000e+01,2.727050781250000000e-01
2.400000000000000000e+01,2.321777343750000000e-01
2.500000000000000000e+01,4.245605468750000000e-01
2.600000000000000000e+01,5.300903320312500000e-02
2.700000000000000000e+01,1.179199218750000000e-01
2.800000000000000000e+01,3.513183593750000000e-01
2.900000000000000000e+01,2.685546875000000000e-01
3.000000000000000000e+01,6.341552734375000000e-02
3.100000000000000000e+01,7.257080078125000000e-02
3.200000000000000000e+01,9.136962890625000000e-02
3.300000000000000000e+01,8.612060546875000000e-02
3.400000000000000000e+01,2.973632812500000000e-01
3.500000000000000000e+01,4.461669921875000000e-02
3.600000000000000000e+01,2.277832031250000000e-01
3.700000000000000000e+01,5.141601562500000000e-01
3.800000000000000000e+01,4.583740234375000000e-02
3.900000000000000000e+01,2.973632812500000000e-01
4.000000000000000000e+01,7.257080078125000000e-02
4.100000000000000000e+01,3.525390625000000000e-01
4.200000000000000000e+01,3.924560546875000000e-02
4.300000000000000000e+01,6.130981445312500000e-02
4.400000000000000000e+01,1.170043945312500000e-01
4.500000000000000000e+01,2.541503906250000000e-01
4.600000000000000000e+01,1.241455078125000000e-01
4.700000000000000000e+01,3.029785156250000000e-01
4.800000000000000000e+01,1.004791259765625000e-02
4.900000000000000000e+01,2.420654296875000000e-01
5.000000000000000000e+01,2.861328125000000000e-01
5.100000000000000000e+01,3.581542968750000000e-01
5.200000000000000000e+01,1.324462890625000000e-01
5.300000000000000000e+01,4.880371093750000000e-01
5.400000000000000000e+01,1.368408203125000000e-01
5.500000000000000000e+01,3.918457031250000000e-02
5.600000000000000000e+01,5.642700195312500000e-02
5.700000000000000000e+01,8.674621582031250000e-03
5.800000000000000000e+01,7.269287109375000000e-02
5.900000000000000000e+01,2.044677734375000000e-03
6.000000000000000000e+01,2.670898437500000000e-01
6.100000000000000000e+01,3.027343750000000000e-01
6.200000000000000000e+01,1.325683593750000000e-01
6.300000000000000000e+01,2.761230468750000000e-01
6.400000000000000000e+01,2.895507812500000000e-01
6.500000000000000000e+01,1.915283203125000000e-01
6.600000000000000000e+01,1.430664062500000000e-01
6.700000000000000000e+01,2.670898437500000000e-01
6.800000000000000000e+01,3.027343750000000000e-01
