token_index,activation_value
0.000000000000000000e+00,2.019042968750000000e-01
1.000000000000000000e+00,2.841186523437500000e-02
2.000000000000000000e+00,5.810546875000000000e-01
3.000000000000000000e+00,1.583251953125000000e-01
4.000000000000000000e+00,1.013183593750000000e-01
5.000000000000000000e+00,1.019287109375000000e-01
6.000000000000000000e+00,9.942626953125000000e-02
7.000000000000000000e+00,5.409240722656250000e-03
8.000000000000000000e+00,1.411132812500000000e-01
9.000000000000000000e+00,6.713867187500000000e-02
1.000000000000000000e+01,1.091308593750000000e-01
1.100000000000000000e+01,1.013183593750000000e-01
1.200000000000000000e+01,1.509094238281250000e-02
1.300000000000000000e+01,2.370605468750000000e-01
1.400000000000000000e+01,1.613769531250000000e-01
1.500000000000000000e+01,3.793334960937500000e-02
1.600000000000000000e+01,7.684326171875000000e-02
1.700000000000000000e+01,1.942138671875000000e-01
1.800000000000000000e+01,3.852539062500000000e-01
1.900000000000000000e+01,2.514648437500000000e-01
2.000000000000000000e+01,1.666259765625000000e-01
2.100000000000000000e+01,8.325195312500000000e-02
2.200000000000000000e+01,2.912597656250000000e-01
2.300000000000000000e+01,1.099853515625000000e-01
2.400000000000000000e+01,1.750488281250000000e-01
2.500000000000000000e+01,3.999023437500000000e-01
2.600000000000000000e+01,8.038330078125000000e-02
2.700000000000000000e+01,1.882324218750000000e-01
2.800000000000000000e+01,3.864746093750000000e-01
2.900000000000000000e+01,4.379272460937500000e-03
3.000000000000000000e+01,1.211547851562500000e-01
3.100000000000000000e+01,5.781250000000000000e-01
3.200000000000000000e+01,1.948242187500000000e-01
3.300000000000000000e+01,4.519653320312500000e-02
3.400000000000000000e+01,8.178710937500000000e-01
3.500000000000000000e+01,1.509094238281250000e-02
3.600000000000000000e+01,1.757812500000000000e-01
3.700000000000000000e+01,5.258789062500000000e-01
3.800000000000000000e+01,3.728866577148437500e-03
3.900000000000000000e+01,8.178710937500000000e-01
4.000000000000000000e+01,5.781250000000000000e-01
4.100000000000000000e+01,1.357421875000000000e-01
4.200000000000000000e+01,3.801269531250000000e-01
4.300000000000000000e+01,1.583251953125000000e-01
4.400000000000000000e+01,3.793334960937500000e-02
4.500000000000000000e+01,4.293823242187500000e-02
4.600000000000000000e+01,2.651367187500000000e-01
4.700000000000000000e+01,2.556152343750000000e-01
4.800000000000000000e+01,9.350585937500000000e-02
4.900000000000000000e+01,6.018066406250000000e-02
5.000000000000000000e+01,1.784667968750000000e-01
5.100000000000000000e+01,2.318115234375000000e-01
5.200000000000000000e+01,5.929565429687500000e-02
5.300000000000000000e+01,1.207351684570312500e-03
5.400000000000000000e+01,1.500244140625000000e-01
5.500000000000000000e+01,1.452636718750000000e-01
5.600000000000000000e+01,4.080200195312500000e-02
5.700000000000000000e+01,1.209106445312500000e-01
5.800000000000000000e+01,1.013183593750000000e-01
5.900000000000000000e+01,9.320068359375000000e-02
6.000000000000000000e+01,1.024169921875000000e-01
6.100000000000000000e+01,4.299926757812500000e-02
6.200000000000000000e+01,2.653808593750000000e-01
6.300000000000000000e+01,1.895751953125000000e-01
6.400000000000000000e+01,1.811523437500000000e-01
6.500000000000000000e+01,3.776855468750000000e-01
6.600000000000000000e+01,3.818511962890625000e-03
6.700000000000000000e+01,1.024169921875000000e-01
6.800000000000000000e+01,4.299926757812500000e-02
6.900000000000000000e+01,4.386901855468750000e-03
7.000000000000000000e+01,5.470275878906250000e-03
7.100000000000000000e+01,3.063964843750000000e-02
7.200000000000000000e+01,1.978759765625000000e-01
7.300000000000000000e+01,8.003234863281250000e-03
7.400000000000000000e+01,9.350585937500000000e-02
7.500000000000000000e+01,1.575927734375000000e-01
7.600000000000000000e+01,4.299926757812500000e-02
7.700000000000000000e+01,1.839599609375000000e-01
7.800000000000000000e+01,7.751464843750000000e-02
7.900000000000000000e+01,1.451873779296875000e-02
8.000000000000000000e+01,4.129028320312500000e-02
8.100000000000000000e+01,7.141113281250000000e-02
8.200000000000000000e+01,2.651367187500000000e-01
8.300000000000000000e+01,1.894531250000000000e-01
8.400000000000000000e+01,2.775878906250000000e-01
8.500000000000000000e+01,5.781250000000000000e-01
8.600000000000000000e+01,8.276367187500000000e-02
8.700000000000000000e+01,9.735107421875000000e-02
8.800000000000000000e+01,3.973388671875000000e-02
8.900000000000000000e+01,1.013183593750000000e-01
9.000000000000000000e+01,4.299926757812500000e-02
9.100000000000000000e+01,1.625976562500000000e-01
9.200000000000000000e+01,6.018066406250000000e-02
9.300000000000000000e+01,2.122802734375000000e-01
9.400000000000000000e+01,3.979492187500000000e-02
9.500000000000000000e+01,2.705383300781250000e-02
9.600000000000000000e+01,7.221679687500000000e-01
9.700000000000000000e+01,5.938720703125000000e-02
9.800000000000000000e+01,5.278320312500000000e-01
9.900000000000000000e+01,1.209106445312500000e-01
1.000000000000000000e+02,1.811523437500000000e-01
1.010000000000000000e+02,4.299926757812500000e-02
1.020000000000000000e+02,2.648925781250000000e-01
1.030000000000000000e+02,3.063964843750000000e-02
1.040000000000000000e+02,1.618652343750000000e-01
1.050000000000000000e+02,6.018066406250000000e-02
1.060000000000000000e+02,2.753906250000000000e-01
1.070000000000000000e+02,7.036132812500000000e-01
1.080000000000000000e+02,8.868408203125000000e-02
1.090000000000000000e+02,3.818511962890625000e-03
1.100000000000000000e+02,1.270751953125000000e-01
1.110000000000000000e+02,3.518066406250000000e-01
1.120000000000000000e+02,4.162597656250000000e-02
1.130000000000000000e+02,5.764770507812500000e-02
1.140000000000000000e+02,2.469482421875000000e-01
1.150000000000000000e+02,3.811645507812500000e-02
1.160000000000000000e+02,3.063964843750000000e-02
1.170000000000000000e+02,3.481445312500000000e-01
1.180000000000000000e+02,1.478271484375000000e-01
1.190000000000000000e+02,7.751464843750000000e-02
