token_index,activation_value
0.000000000000000000e+00,5.410156250000000000e-01
1.000000000000000000e+00,1.090698242187500000e-01
2.000000000000000000e+00,1.846923828125000000e-01
3.000000000000000000e+00,5.014648437500000000e-01
4.000000000000000000e+00,2.462158203125000000e-01
5.000000000000000000e+00,2.003173828125000000e-01
6.000000000000000000e+00,1.226196289062500000e-01
7.000000000000000000e+00,3.764648437500000000e-01
8.000000000000000000e+00,2.347412109375000000e-01
9.000000000000000000e+00,5.668640136718750000e-03
1.000000000000000000e+01,1.052856445312500000e-01
1.100000000000000000e+01,2.462158203125000000e-01
1.200000000000000000e+01,2.495117187500000000e-01
1.300000000000000000e+01,1.289062500000000000e-01
1.400000000000000000e+01,1.922607421875000000e-01
1.500000000000000000e+01,5.776977539062500000e-02
1.600000000000000000e+01,1.501464843750000000e-01
1.700000000000000000e+01,2.907714843750000000e-01
1.800000000000000000e+01,6.085205078125000000e-02
1.900000000000000000e+01,1.424560546875000000e-01
2.000000000000000000e+01,3.293457031250000000e-01
2.100000000000000000e+01,1.202392578125000000e-01
2.200000000000000000e+01,2.257080078125000000e-01
2.300000000000000000e+01,1.707458496093750000e-02
2.400000000000000000e+01,1.922607421875000000e-01
2.500000000000000000e+01,2.431640625000000000e-01
2.600000000000000000e+01,3.911132812500000000e-01
2.700000000000000000e+01,1.853027343750000000e-01
2.800000000000000000e+01,1.600341796875000000e-01
2.900000000000000000e+01,3.928222656250000000e-01
3.000000000000000000e+01,3.669433593750000000e-01
3.100000000000000000e+01,2.795410156250000000e-01
3.200000000000000000e+01,2.232666015625000000e-01
3.300000000000000000e+01,2.917480468750000000e-01
3.400000000000000000e+01,2.726745605468750000e-02
3.500000000000000000e+01,2.495117187500000000e-01
3.600000000000000000e+01,9.750366210937500000e-03
3.700000000000000000e+01,7.379150390625000000e-02
3.800000000000000000e+01,2.861328125000000000e-01
3.900000000000000000e+01,2.726745605468750000e-02
4.000000000000000000e+01,2.795410156250000000e-01
4.100000000000000000e+01,3.269042968750000000e-01
4.200000000000000000e+01,1.641845703125000000e-01
4.300000000000000000e+01,5.014648437500000000e-01
4.400000000000000000e+01,5.776977539062500000e-02
4.500000000000000000e+01,4.943847656250000000e-02
4.600000000000000000e+01,1.961669921875000000e-01
