token_index,activation_value
0.000000000000000000e+00,1.123046875000000000e-02
1.000000000000000000e+00,4.223632812500000000e-02
2.000000000000000000e+00,8.300781250000000000e-03
3.000000000000000000e+00,9.704589843750000000e-03
4.000000000000000000e+00,9.326171875000000000e-02
5.000000000000000000e+00,8.056640625000000000e-02
6.000000000000000000e+00,3.320312500000000000e-02
7.000000000000000000e+00,3.808593750000000000e-02
8.000000000000000000e+00,5.004882812500000000e-02
9.000000000000000000e+00,4.003906250000000000e-02
1.000000000000000000e+01,1.086425781250000000e-02
1.100000000000000000e+01,9.326171875000000000e-02
1.200000000000000000e+01,1.250000000000000000e-01
1.300000000000000000e+01,1.495361328125000000e-02
1.400000000000000000e+01,2.636718750000000000e-02
1.500000000000000000e+01,1.507568359375000000e-02
1.600000000000000000e+01,7.537841796875000000e-03
1.700000000000000000e+01,3.417968750000000000e-03
1.800000000000000000e+01,2.465820312500000000e-02
1.900000000000000000e+01,2.212524414062500000e-03
2.000000000000000000e+01,5.297851562500000000e-02
2.100000000000000000e+01,1.141357421875000000e-02
2.200000000000000000e+01,6.378173828125000000e-03
2.300000000000000000e+01,2.917480468750000000e-02
2.400000000000000000e+01,2.734375000000000000e-02
2.500000000000000000e+01,4.394531250000000000e-03
2.600000000000000000e+01,1.397705078125000000e-02
2.700000000000000000e+01,6.818771362304687500e-05
2.800000000000000000e+01,1.754760742187500000e-03
2.900000000000000000e+01,9.643554687500000000e-03
3.000000000000000000e+01,2.551269531250000000e-02
3.100000000000000000e+01,1.533508300781250000e-03
3.200000000000000000e+01,2.136230468750000000e-02
3.300000000000000000e+01,1.416015625000000000e-02
3.400000000000000000e+01,3.637695312500000000e-02
3.500000000000000000e+01,1.250000000000000000e-01
3.600000000000000000e+01,2.941894531250000000e-02
3.700000000000000000e+01,2.563476562500000000e-02
3.800000000000000000e+01,5.401611328125000000e-03
3.900000000000000000e+01,3.637695312500000000e-02
4.000000000000000000e+01,1.533508300781250000e-03
4.100000000000000000e+01,1.745605468750000000e-02
4.200000000000000000e+01,1.562500000000000000e-02
4.300000000000000000e+01,9.704589843750000000e-03
4.400000000000000000e+01,1.507568359375000000e-02
4.500000000000000000e+01,1.831054687500000000e-02
4.600000000000000000e+01,1.922607421875000000e-03
